,Comments
3613,I suspect most people really dont need a booster....... The point should be that you have choice. If you want one go get one if you don &#39;t then thats your choice.
3614,"think you need a corona  booster shot every 4 months, and  than in between your flu shot and other shots, <br>Then we all get a QR code, and if you have sweaty feet, you don&#39;t come in anywhere"
3615,"Booooooosters subscription please, like Netflix, so we could have them every time we need them. 🤓"
3616,"Sounds cool, rolling around with omnicron.  Im hoping its strong enough to keep me home from work."
3617,DW Thanks for all Team .
3618,"I am good with vaccines. Even have the 3rd booster myself. But i have been asking this for half a year now being called names and conspiracy theorist. 3rd dose, 4th booster, 5th dose, 6th booster? Sadly just asking this question i am labeled some kind of hater."
3619,If you only think nothing they say make sense
3620,"The only Booster I&#39;m taking is 10psi from a Ebay Turbo, STUtutututu!!"
3621,"One good thing about this plandemic, Everything is going as planned"
3622,"Don&#39;t feel bad, keep hoarding."
3623,Just took my ninth booster shot. I have X ray vision now. 😎
3624,"The more booster you take, the more you will realize how useful these vaccines are. By the time you take your 100th booster shots, you will be 100% sure of the efficacy of the vaccine."
3625,Year 2050: The covid Alpha Centauri variant and your mandatory 3000th booster jab is due and wear your mask!!
3626,"a booster that doesn&#39;t work against delta or new variants, so smart"
3627,What is more dangerous? a venue allowing only vaccinated peoples or a venue allowing unvaccinated but everybody is tested?
3628,How long will it take for the sheep to wake up to the fact they are being slaughtered ?
3629,"My 58 yr old coworker was fully vaccinated with Moderna, hasn&#39;t gotten sick the whole time, like me, because we believe we had covid back in 2020 (I will never want vaccine) and she got the booster a week ago Friday and could not work ALL week last week because she became deathly ill!!!"
3630,"You know what irony is The Indian Prime Minister Mr. Narendra Modi calling India as the Largest Democracy on the Planet Earth but  he, Mr. Modi <b>didn&#39;t face a single &quot;Press Conference&quot; in his entire reign of 7 years till 2021 and the saga continues...</b>"
3631,My ex-college roommate and his mom just got it and they didn’t get their booster.
3632,Do you hear how rediculous all of this sounds?😏 Give us all a break already.
3633,"Simple, NO!"
3634,"It is, but because we don&#39;t send vaccine to poor countries. If the whole world (or 70% at least) were vaccinated, other history we would talking about it"
3635,Will I have to be vaccinated every year? Like against flu?
3636,"Yes, all vaccinated people should take the third dose!"
3637,Keep on getting those booster shots.and make sure to wear 4 masks
3638,I say when we know the  next stronger verent   verent then I recommend the 4th shout
3639,None of it is necessary from the beginning.
3640,"Yes, for the rest of your lives."
3641,South America is a success story as far as covid vaccinations.  It is overall better vaccinated than Eastern Europe.
3642,They even hide the dislikes now
3643,More like breaking more variants...
3644,"Booster, then Booster of booster,…."
3645,Vaccination camps are nice.
3646,Enough is enough!
3647,"I am fully vaccinated, but if I have to give up to my third one boost for others to benefit so be it... I would be glad to donate mine."
3648,Necessary for good earnings.
3649,I think this is the game of medicine manufacturers companies they are making money and they want to earn more and more <br>They will recommend more boosters and we will be obliged to do for traveling and other activities
3650,"This is ridicolous,  do they have another in the making,?"
3651,"A  BS (booster shot) for everyone, says DW. I stopped watching at <a href=""https://www.youtube.com/watch?v=cisdhVYtUVk&amp;t=1m23s"">1:23</a>"
3652,If u want to die early get. The booster
3653,Some developing and the poor countries will soon be the last places on Earth one can still live with some level of freedom. Until that will last is just a guess.
3654,&quot;I&#39;m fully vaccinated&quot;  that aged so well. 😂
3655,I have never heard of a vaccine that requires repeated scheduled administrations to ensure its efficacy. <br><br>Have you?
3656,☺️
3657,☺️
3658,they are not necessary
3659,Another story that is not aging well
3660,Paracetamol vaccine​ every 6 months.
3661,"It&#39;s done we have to live with it, however cruel it might seem. We failed."
3662,Booster addicted
3663,I cannot comment I think TEDROS was a failure for humanity based on his internationally reported actions handling the pandemic and shouldn&#39;t still have a job at WHO? CENSORING THIS IS  UNREASONABLE
3664,WHO said 3rd dose is inhumane and unethical
3665,I was offered a booster but the vaccination centre is too far for me to travel to and back.<br>Would be great if the booster jab is made available at GP clinics.
3666,Before you know it people will be wheeling around IV drip bags in their arm
3667,"I thank god everyday for the boostershots... so that we can soon return to our normal lives, as promised by our beloved politicians.😃"
3668,🤣😂🤣😂 No but it do something else.
3669,"zero data, zero clue, just asking, hoping these boosters work. hail mary."
3670,Stuped covid Anda planet 😭😭😭
3671,(WHO and ⋯⋯) Keep mopping the floors without replacing(repair) the damaged Taps
3672,Jesus Christ is my key
3673,guess who&#39;s $urfing on those waves
3674,Beware of the white man bearing gifts.
3675,Why did you arrested the leader of Catalunya independence?
3676,"I see, jab jab, still getting ill 🤭"
3677,Quick answer.<br>No.
3678,This is too much
3679,Let&#39;s go Brandon!!!
3680,👩🏼‍💼🌍😘 ..
3681,😍🌍🖕🏽 ..
3682,"Nonefective, useless"
3683,"How does it work with vax? My understanding of it is: I take a vax, and then my body produces anti body and has immune memory for the rest of my life.<br><br>But with the cv.19. Vax, I have to keep taking it???"
3684,Use me as a dislike button! :)
3685,"No booster is needed, just stop counting n politizing!!"
3686,"As always, we&#39;d love to include your questions in our upcoming shows! What would you like to know about the coronavirus pandemic? <a href=""http://www.youtube.com/results?search_query=%23askderrick"">#askDerrick</a>"
3687,A demonstration of the power of social cohesion and consideration for others wellbeing. Well done S.Korea 👏
3688,"PLEASE do not use the scenes from China when reporting about South Korea. I understand it could be a shortage of authentic photos, though.<br>It&#39;s true that self employed people in South Korea have been suffered from the loss of their income due to the restriction, overall, the government has been dealt with well. I&#39;ve lived in Vancouver till this summer 2021 and now in Seoul, I can see that how much South Korea has done well during the pandemic with balancing public health and individual right issues. Hope every country returning to better Normal!"
3689,"Mr Lee, we can be pride of and cheer each others for what we did during last two years. It was not perfect but we need to remember it was our first pandemic without knowing where we are headed. Even though it is still going on, I think we really did good job. And appreciate to all front line workers and administrators.."
3690,"Mr Lee seemed a little bias in his assessment (against the government) and didn&#39;t really answer the questions..  I live in Seoul and yes there definitely have been mistakes,  some restrictions stronger towards certain groups/businesses, but overall, Korea (government included) has done well compared to most countries.  We&#39;re at 76% fully vaccinated (2 shots), 92% of adults have at least 1 shot ..they  started the boosters not long ago."
3691,No one &quot;beats&quot; covid. Its just a matter of it it&#39;s well managed or not.
3692,South korea done pretty well of handling a covid 19 pandemic main reason is people follow covid precautions their wear mask in outside and vaccination rate and right responses
3693,"It was equal to complete lockdown?? That&#39;s nonesense. People could go out freely, buy things freely, and social distancing and time limit wasn&#39;t that strict out side of Seoul. How is that equal to complete lockdown??"
3694,"The economy hardship, recession,unemployment and loss of job caused by covid pandemic is enough to push people<br>into financial ventures."
3695,"Ask Dutch people if they managed to beat covid 19.... 88% of vaccinated, the highest number of new cases, new lockdown, being forced to get the third dose..."
3696,맞는말씀
3697,"..because unlike other countries, most Asian countries didn&#39;t politicize the vaccines and the lockdowns. It is all about government strategy and society&#39;s cooperation to get back on their feet sooner."
3698,This hasn&#39;t stood the test of a very short amount of time.
3699,Kudos to this nation that&#39;s cares for it&#39;s neighbors.
3700,Australia is higher on fully vaccinated rate than South Korea from having a 264 day lockdown in Melbourne but we are doing well as a nation &amp; hope every other nation can return to something normal soon 👍
3701,"Thanks to the Managing Director of the IMF, Mrs. Kristalina Georgieva,for the  $100,000 Grant she gave to me and my family.May God continue to bless you all,as you help the poor,with the Smart agenda of empowering citizens of countries affected by the Covid 19 pandemic,through the IMF/World Bank Covid 19 Loan/Grant initiative..We are indeed  grateful 🙏"
3702,"Not just S Korea but most Far Eastern nations have done very much better than Europe and America. A large part of this success is due to people accepting community responsibility and cooperating with government mandated measures. Acting like sheeple as many westerners like to call them, but saving lives and enabling economic recovery across the region."
3703,"I Love South Korea one jab your done .<br> I believe that the way of South Korea does things, They Will Be The Leaders of Protection Against Cov 19  Pandemic, For All Countries."
3704,Based on the virus fatality stats I think all restrictions should be lifted absolutely there! 🚨 Immediately! 🚨Ginger keep their stats amazingly better! 😃
3705,Taiwan and south Korea has done well because of mandatory masks policy.. WEARING MASKS CORRECTLY indoors and outdoors even you had 2 jabs. Wuhan viruses is Not a normal viruses.
3706,Now we have QR code system in Russia and also vaccination campaign. I hope it will smooth out infection rates
3707,This didn&#39;t age well...
3708,Countries like South Korea is well-run and efficient. they don&#39;t have that selfish antisocial tendencies like in the West.
3709,"Singapore has the highest vaccination rate since past months. But still, the cases still rising. &quot; Live with it&quot; as their government said."
3710,korea did so much better than most of other OECD countries
3711,South Korea did really well. they were very strict when needed and they were successful. <br>Low numbers of infections. <br>High number of vaccinations.
3712,Could it be that those countries are not testing as much as in the uk? Hence the lower rates?
3713,Please do a report on coronavirus status in Pakistan
3714,all is needed is a population that is obedience to fact based science and devoid of unfounded conspiracy noises.
3715,"Dont jinx them !  every time the media claims a country has beaten COVID, theres a new outbreak of it !."
3716,BNT is not as effective as it promises and partially due to slack job done by the Chinese participants in the BNT research
3717,Only country which is best at vaccination is - INDIA
3718,"kind of interesting to hear the Korean guest talked about their government being too harsh, too authoritarian !!  don&#39;t forget, merely a few decades ago, South Korea had daily curfew after 10 as they were on war-time readiness !!!"
3719,"<a href=""https://www.youtube.com/watch?v=SoRQtmopp-s&amp;t=3m00s"">3:00</a> February 2022 South Korea gets fully reopened for the fully vaccinated at least."
3720,Here in Canada were doing great. 84% fully vaccinated from 12 years and up. In our province of 14 Million our &#39;4th wave&#39; was just 400 cases a day. We have vaccination passports mandated here - there&#39;s ittle you can do if you are not fully vaccinated and we&#39;ve maintained masks.
3721,Well done Korea. I hope we will be able to visit from Japan next year. I  hope
3722,Lifting while wearing mask... I can feel the difficulty
3723,Ireland over 90% vaccinated and what does it help?<br>Today 20/11/ 2021 vaccinated 95%.
3724,"Ok, but the cases and deaths keep rising. It&#39;s time to accept this new normal."
3725,I have lost count of how many &quot;experts&quot; and role model countries this virus has created.<br>Edit: South Korea&#39;s infection rate spiking again.
3726,이 한국 의사 양반은 챙피한 줄 알아야 돼겠어요 말하는 요지가 어이가 없네요 이정도 수준이라니
3727,How many times they have beaten covid???
3728,When they talk about fully vaccinated does that mean 3 or 2 dose? If its 2 dose most countries are almost 70-80% by now i imagine.
3729,God bless🙏 💐💐💐💐
3730,God bless🙏 💐💐💐💐💐💐🙏
3731,this didnt age well
3732,"Here we have also +80% vaccination rates, but we dont have memories of goldfish so we know we havent beaten it."
3733,Vaccine pass is so authoritarian.
3734,and here we are the new record again
3735,Idk.. I heard south Korea dances all kinds of dances! But North Korea dances ball room dances! But idk.. most think!
3736,충격 인터뷰네... 코로나로 인한 사회적인 기회상실이나 부분적인 영업시간 규제가 물리적인 이동까지 막는 완전한 Lockdown과 같은거나 다름 없다고 하다니 헐...
3737,Does South Korea have any covid vaccine booster shots Authorisation?
3738,After a few weeks: South Korea experiences new surge. 😂😂😂😂😂
3739,"<a href=""https://www.youtube.com/watch?v=SoRQtmopp-s&amp;t=9m02s"">9:02</a> - When will the Novavax vaccine be rolled out?"
3740,Vietnam said they were the best until the Vietnamese-Americans said it was all LIES.
3741,No! Taiwan is!
3742,한국의 방역 정책은 의료 전문가들의 종합적 판단에 따라 결정되고 있습니다. 저렇게 생각하는 사람도 있고요. 물론 코로나 판데믹으로 인해 경제적 피해를 보는 사람들도 있고요. 완전한 셧다운은 아니지만 실질적으로 완전한 셧다운과 마찮가지라는 내용은 어이가 없습니다. 한국은 이미 나름의 방법으로 코로나와 같이하는 삶에 적응하여 살아가고 있습니다.
3743,"This pandemic has revealed to the world that there are two types of people. Those who just want to be left alone, and those that refuse to leave other people alone. (Control freaks) So, which kind of person ARE YOU?"
3744,Elimination to mitigation
3745,Model in preparing for the Mark of the Beast.
3746,Well this aged like milk
3747,"Because of the reruns of every day world news,  I have chosen to watch videos of pornography.  <br>at least I know what to expect from them."
3748,dont forget Taiwan
3749,This title and the video seemed to me gave the opposite affect. It doesn’t sound very successful.
3750,Fun fact : Bangladesh and Indonesia fight covid19 more better than south Korea and Australia. <br>Question : Why?
3751,…it’s the same in Oz 🇦🇺
3752,"Just do something that will earn you money while you sleep , no matter how little . A pandemic is the perfect way to open your eyes to really see what life could be like without your usual income stream and everyone had to stay home . Well I never felt it because I invested in a trading company where I earn 4 digits per week . The best thing you can do for yourself is invest more and spend less"
3753,"outside of youtube, China is the role model. LOL"
3754,👌🏼👌🏼
3755,It’s beaten covid until it’s not.. like Israel uk Singapore…
3756,NOOOOOOOOOOO
3757,Is it a re-upload?
3758,No.florida and Japan is
3759,&quot;Beat COVID&quot; yea sure... Come back to me in 2 months
3760,Which covid?
3761,Nothing just the same  !. BARKING AT THE WRONG TREE RIGHT FROM DAY ONE  !.
3762,Herd immunity ❌<br>Hurt community ☑️
3763,A role model? The data the time this report is released show that in SK the case of Covid19 is at its height and so is the number of death (per worldometer).
3764,Nope it&#39;s not. That&#39;s one of the worst sample for fighting against Covid-19.
3765,Sweden is
3766,"Based on S Korea’s continuously climbing case and death rates they are not a role model I’d recommend following.  They didn’t do it in waves like the rest of us, always up.  They seem to be playing a public Squid Game.  And dashboards show S Korea as 76.98% vaccinated as of yesterday, about average for most advanced economies now and nothing spectacular."
3767,Are they better than Israël?
3768,Train to Wuhan.
3769,저 정도 실력인 놈이 대한민국 3대 대학 교수라니 도대체 한국 사회는 얼마나 썩은거냐
3770,K防疫とは？🤔
3771,"truth: &quot;Energy&quot; CONTROL = &quot;Human&quot; CONTROL.  &quot;Energy&quot; FREEDOM = &quot;Human&quot; FREEDOM. My Father told me:  During the Depression, &quot;Railroad Workers&quot; would &quot;Throw Coal&quot; off trains in &quot;Certain Neighborhoods&quot; so that Families would not &quot;FREEZE to DEATH.&quot; COAL is: &quot;MORE VALUABLE than DIAMONDS and GOLD!&quot;                 PEACE  on EARTH"
3772,Hope that hand gesture in the thumbnail was unintended
3773,Not anymore
3774,Germany must follow South Korea pandemic response
3775,South Korea has been doing the best among democratic countries
3776,"South Korea is a perfect place (I visited it many times), BUT we shouldn&#39;t &quot;learn to live with COVID-19&quot;. Just stop this COVID hysteria and open everything for everyone! Protect only very vulnerable people."
3777,South Korea? No. That title goes to Taiwan.
3778,Koreans like self-praise.  Don&#39;t count on their exaggerate appeal!  Now S. Korea is in danger by pandemic.
3779,"Because of the economic crisis and the rate of unemployment, now is the best time to invest and make money 💯"
3780,Well. Overpopulation is 90% I believe. We now want to save everybody. Makes sense. 🙄 Let&#39;s find out in upcoming years what&#39;s the deal.
3781,Look at the UK and other countries that are fully vaccinated up to 1995%. They are not doing so well.
3782,일본과 유럽 미디어 공통점 : 무슨 뉴스든 다른나라 영상은 쓰레기 같은 카메라로 빈민 지역 위주로 촬영한 480p 영상만 보여줌
3783,NSW state of Australia is 90% double jabbed.
3784,South Korea is doing best among democratic countries
3785,Where is Small Korea by the way🐜
3786,Thank you Michael for all your hard work in dealing with COVID-19 and Ebola.
3787,"A very informative interview, esp. near the ending, the distinction between public and private treatment of member states was made in a  very smart way."
3788,"I observed this man from the begining being sure to see the press conference for months. Politics aside I have deep respect for his diplomacy and dignity.  I see what It has done to him, we all....if everyone tried as hard  as his own integrity  things would improve!  Stop the reductionist targeting and DO SOMETHING besides pointing fingers."
3789,"Nobody becomes a millionaire or billionaire by working for others and depending on them, good Investment breed millions of dollars and consistency breed billions"
3790,Why are Denmark and Germany the only countries to aspirate the injection for the vaccine to prevent IV injection? Why does the WHO recommend against aspirating?
3791,"Interesting what he means saying, that some people motivated by greed :) which side?"
3792,"As they sing in the streets of Ukraine, &quot;WHETHER YOU&#39;RE A BROTHER OR WHETHER YOU&#39;RE A MOTHER&quot;!"
3793,"Next pandemic: WHO &quot;always believe China, China is boss&quot; 🤣"
3794,"I thought Tedros was the Executive Director for another term, when did he get changed?"
3795,We&#39;ve seen how useful equity is. Just look at the Soviet Union.
3796,"What a great sales pitch, we can&#39;t afford these speculative treatments or grand ideas. With government spending going through the roof, the whole of this covid problem has been completely mismanaged, and what&#39;s needed now is accountability. Unless this continuous bleeding of tax payers money is curtailed, the INFLATION we are all experiencing now, will soon become HYPERINFLATION.  <br>Thanks, but NO thanks, can&#39;t afford to pay your wages."
3797,Excellent
3798,&quot;It makes us very rich&quot;
3799,"124 MILLION AMERICANS ARE STILL NOT VACCINATED AFTER 2 YEARS.<br>America is only 63% (209M of 333M) vaccinated.<br>New Zealand is 95% (4.75M of 5M) vaccinated.<br>Covid deaths: US 959,412 vs China 4,636 vs New Zealand 55."
3800,Michael works for an international organisation that has a word &quot;Health&quot; in it? How wide is he?
3801,"You’re a reporter, not a therapist."
3802,To the Monsters We&#39;re the Monsters
3803,Leave Africa alone.
3804,Thank you china
3805,No one hears Cassandra cry.
3806,Why do comments keep getting limited to 10?
3807,Guy sites Bill Gates….? Pft whatever.
3808,Stupidity has outed
3809,"Checking the comments, as of now, so far so good 🚛🇨🇦🇺🇸💪🆓🧂📣"
3810,The biggest lesson I learned are the WHO are full of it...
3811,Too much double talk and short of honesty.
3812,"he talks and talks and talks. BUT when he us asked about freeing up patents, he beats around the bush"
3813,Crimes Against Humanity ‼️ Criminal Intent will be Fully Rewarded..May God have mercy on your Souls.
3814,🤥😂
3815,He can&#39;t stop chuckling.....while he lies through his teeth
3816,You didn&#39;t learn anything and you know it. So do we. We the people will remember you though. Rest assured.
3817,why your reporter don&#39;t wear an KN95?! Why Mr Ryan don&#39;t wear a KN95??!<br>It  is bad visual communication
3818,WHO stands for World human owners.
3819,"Jesus Christ is the Way, the Truth, the Life. No one comes to the Father except through Him. There is no other intermediary. May Jesus Bless you, trust Him, give your life - and He will take care of it :pray Convert yourself and believe in the Gospel - Romans 10 8-10 But what does it say? “The word is near you; it is in your mouth and in your heart,” that is, the message concerning faith that we proclaim: 9 If you declare with your mouth, “Jesus is Lord,” and believe in your heart that God raised him from the dead, you will be saved. 10 For it is with your heart that you believe and are justified, and it is with your mouth that you profess your faith and are saved.  : Why this division, in the evil world we are in, we will be treated as objects and put to fight against each other. This is not what human life should be about. What is the point of wars, the constant enrichment of small units that they erode on the people they use in their plan. It is clear where this is going, we are only a pawn in the game and evil wants to use us for its purposes. There isn&#39;t much time left. No matter where you come from, who you are: Christ Is Waiting for you now. Wake up while there&#39;s still a chance. May God Keep u in His care. <br>An interesting thing about a disease that was created in laboratories by man. You don&#39;t remember any other flu: avian, swine, hiv virus that was also created by the human hand. The whole system of pharmacy [I recommend checking the meaning of the word pharmakeia] is not about treatment, but about stuffing the wallets of regular customers, leading them to death.  <br><br>it&#39;s all business, people do not mean night: just look at what is happening in the world. Evil has no friends, does not know what love or loyalty is - it fights against its own. How to overcome evil? A simple way: apply love to him and wait for reactions. Evil doesn&#39;t know what it is, the easiest way to deal with the problem.  [MT 24] And Jesus answered and said unto them, Take heed that no man deceive you. 5For many shall come in my name, saying, I am Christ; and shall deceive many. 6And ye shall hear of wars and rumours of wars: see that ye be not troubled: for all these things must come to pass, but the end is not yet. 7For nation shall rise against nation, and kingdom against kingdom: and there shall be famines, and pestilences, and earthquakes, in divers places. 8All these are the beginning of sorrows. 9Then shall they deliver you up to be afflicted, and shall kill you: and ye shall be hated of all nations for my name’s sake. 10And then shall many be offended, and shall betray one another, and shall hate one another. 11And many false prophets shall rise, and shall deceive many. 12And because iniquity shall abound, the love of many shall wax cold. 13But he that shall endure unto the end, the same shall be saved. 14And this gospel of the kingdom shall be preached in all the world for a witness unto all nations; and then shall the end come. [...] <br>Christ is more powerful than the evil that now rules in this world. &quot;<br><br>Remember that I have won the world &lt;3&quot; Jesus Is Coming - rejoice, the Lord Is near. <br>Just a moment longer and the Bridegroom will come and take His Bride"
3820,He talks like someone from FIFA. I will never forgive WHO how they lied about the lab theory in 2020.<br>That was dam unprofessional and showed how free and unbiased they really are.<br><br><br>Zero.
3821,Evil
3822,The biggest lesson we all learned is not to trust Doctors and not to trust the media.
3823,"Inspiring, Mr President. You navigated these deliberate stumbling block questions posed. I expecially liked how you made the issue about TRIPS and domestic vaccine production clear. &quot;If there is no agreement on matters of life and death, what other agreements can we have&quot;. Resources trade?. I think it is imperative that Europe begins to understand that there are other potential partners waiting in the wings and they longer have a monopoly. I think it is acceptable to accept no deal than one that stinks. Return home and let the people know the outcome of the negotiations and then seek alternatives. This may not be the optimal outcome but a necessary derivative."
3824,As usual &quot;want&quot; and &quot;crumbs from the table&quot;?? This sounds so familiar. All the monetry &quot;crumbs&quot; did not end up on the table but rather in private pockets.
3825,"They weren&#39;t dependent on any crumbs from anywhere, why is the suggestion being made now?<br>What internal damage have they done/are they doing, that causes such questions to be asked?"
3826,The first heart transplant in Capetown. The whole world said it couldn&#39;t be done  South Africa  did it! I believe south African Scientist more than Any countries Top Surgeons.
3827,How can we promote the sharing of intellectual property rights without jeopardizing research integrity?
3828,&quot;Anger&quot;?<br>Really? Even the S.A President chuckled at that!
3829,Releasing IP ensures fewer vaccines developed.  Recall what happened to anti-biotics in the 1970s?  I didn&#39;t think so.
3830,Ramaphosa just so happens to be a billionaire.
3831,"Mr. President: Thanks you so much for your remarkable &quot;State Of The Nation Address&quot; speech last week in Cape Town, South Africa to Parliaments in February of 2022!"
3832,No mention of this from Ramaphosa when he  goes to China with the begging bowl!!
3833,"Ramaphosa,if you don&#39;t want crumbs,then don&#39;t behave like crumbs to your fellow African immigrants in your country.Its a real shame on you South Africans"
3834,"<a href=""https://www.youtube.com/watch?v=GwOQye2VVnM&amp;t=5m48s"">5:48</a> that’s a very good point yo"
3835,Lift patents ??
3836,The truth isn&#39;t welcome in every society
3837,"Claim your lands ,if you are intelligent like Robert Mugabe and  Dr Kwame Nkrumah"
3838,The President has emphasized the life or death situation very clearly.
3839,MOST OF SOUTHAFRICAN PEOPLE DONT TAKE CORONA VACINES 😂😂😂😂😂🇿🇦🇿🇦🇿🇦🇿🇦🇿🇦 SA IS BACK TO NORMAL
3840,"Make your country richer, so you won’t have to receive crumbs."
3841,Where is the interview of the President of the Zoological Republic that attended the same summit?
3842,&quot;We dont want crumbs we want it for free.&quot;
3843,They turned down the order of AZ jab which cost them 3 quid a jab and turned around and argue for vaccine equity<br>When India and Thailand got their license to pump out domestic manufactured jabs
3844,"Gary here -  wrong CR u eat steak,crayfish, caviar - the ppl get the crumbs."
3845,Vaccine hesitancy is their major issue and has capped things at 20% vaccinated.  People in RSA don’t want the vax.<br><br>Presently patents are a sentimental issue. I do want to see more distributed pharmaceutical manufacturing worldwide.
3846,Another great puppet
3847,Gimme gimme gimme. <br>Same old story.
3848,"He asks this of Europe, yet not China....a snake if i ever saw one."
3849,"President Ramaphosa is right. Human good is infinitely more important than anyone&#39;s profit. The good that will come from every country being included in the TRIPS waiver includes ALL countries.  As long as covid exists anywhere,  we&#39;re all less safe. All countries need the ability to research and manufacture vaccines, using the knowledge already arrived at."
3850,A real man of the people. Also a billionaire...
3851,Let AFRICA breathe!
3852,"Ah, mighty south Africa; how you have fallen."
3853,EUROPE IS BROKE
3854,That’s my President. Raised in the instituons of wealth so he can uplift us out of quick wins to legacy. South Africa give your president and God a chance to work. Impatience does not work. Zuma quick win problems are lingering very long
3855,Aa Ramaphosa the people of Mali shouldn&#39;t be forced to accept France they clearly stated it that they don&#39;t want them in their country .
3856,They’ll send it straight to Beijing...
3857,"Lifting the patents is no solution like doing nothing is no solution. It only means more Countries with no money will have to fight for resources. As a German i support Factory Hubs on the African Continent 50/50 Partnership and African Jobs. But some African Leaders unfortunately already proofed that they are willing to sell everything to the Chinese or shut down operations if the private money for them fits, even if its against their own countries interest. Not saying that some western countries did the same. However its not a one way road. Zuma plundering his country while making claims of &quot;western colonization&quot; was the biggest joke."
3858,Yes of course you dont want crumbs. You want the whole have the whole cake. Never ending story.
3859,His name is. Puppet.
3860,"We want crumbs…ok, how about receiving nothing? You’re owed nothing."
3861,"I don&#39;t know much about Mr Ramaposa, but he&#39;s very convincing here."
3862,"They should appreciate anything they get, and not call anything given crumbs."
3863,West means Imperialism and nothing else.
3864,VIVA HONOURABLE PRESIDENT ZUMA VIVA!!! VIVA ZANDILE GUMEDE VIVA!! VIVA BATHABILE DLAMINI VIVA!! VIVA DUDUZANE ZUMA VIVA!!! VIVA BONGINKOSI KHANYILE VIVA!! VIVA NKOSAZANA DLAMINI-ZUMA VIVA!!! VIVA BUSISIWE MKHEBANE VIVA!! VIVA NGIZWE MCHUNU VIVA!! VIVA CARL HIEHAUS VIVA!! VIVA ACE MAGASHULE VIVA!! WE ARE ZUMA AND ZUMA IS US!!! RAMAPHOSA AND HIS MASTERS MUST FALL!! AS FAR US WE THE UNITED KINGDOM OF NGUNI PEOPLE ARE CONCERNED HONOURABLE PRESIDENT ZUMA IS STILL OUR REIGNING PRESIDENT  PERIOD! NOT RAMAPHOSA!! RAMAPHOSA WAS SELECTED NOT ELECTED! SIYABUYA!!!
3865,See the different here between a BOSS and a SLAVE...boss never wears mask like slave does...
3866,"As always, we&#39;d love to include your questions in our upcoming shows! What would you like to know about the coronavirus pandemic? <a href=""http://www.youtube.com/results?search_query=%23askderrick"">#askDerrick</a>"
3867,"I am 63 male, vision impaired, and with encephalomalacia from Covid-19 contracted in January 2021. I am always tired and have no desire to continue living; although I am fully vaccinated (3 times), I am afraid to leave my apartment, I am afraid of the outdoors and socializing. I am not afraid of dying, but the idea of being hospitalized again frightens me beyond anyone&#39;s imagination.  😷🤨😡"
3868,Title does not reflect content. It was interesting but the title is definitely misleading.
3869,People are social creatures.  Of course there are mental impacts by not being social.  <br>I assume anyone going out is taking responsibility for their own health.
3870,I lost my husband for covid 9 months before. I am left with 2 children.  Often I feel to commit suicide.....
3871,You can always find a positive side in everything - at least more people feels what I have for quite some time.
3872,DW: What can be done?<br>The Kids: LIFT THE PANDEMIC MEASURES!<br>DW: Oh you guys!
3873,Just don&#39;t jinx it
3874,Safe from  corona
3875,Every emotional low is a depression nowadays ...
3876,Pfftt.. think of how hard is was for those whom lived with depression and anxiety before all this. 100 times harder. Welcome to our lives. 💪 you&#39;ll be just fine.<br>No fear. Freedom is coming.
3877,I need help
3878,Can&#39;t Handle Silence
3879,"If it aint boeing, I aint going.."
3880,Very good. Finally you look beyond brutal control of your own people. How Human.
3881,HalluciNation.
3882,I’m going to die
3883,omicron has certainly been milder in the uk.
3884,"DW speaking from both sides of its mouth, calling the unvaccinated to be ostracized and depression caused by regulation at the same time."
3885,This is of  no use to me
3886,"I’m from Taiwan and it’s a seriously biased documentary to only focus on “pilots” life being affected and ignore the main steam public opinion about containing the virus. Several outbreaks were caused by pilots that did not follow the rules and tons of Taiwanese were dead because of that. So the strict virus control policy is widely supported by the locals. I would say the pilots and their families were the super minorities and their situation should be represent the majority of Taiwanese people. Let alone it was the time when Taiwan couldn’t get enough vaccines due to the interfering of China and most Taiwanese people weren’t vaccinated. It would lead to sudden surge of infection cases and huge loads of hospitalizations and death if the government simply released the restrictions to “ comfort the pilots and flying crews”. Btw the Taiwanese government did try once , relaxing the measures to serve the pilots needs, and that ultimately led to the first outbreak of the infection in Taiwan. <br>I knew that DW has a crew and some reporters here in Taiwan and I honestly hope that you don’t  sacrifice your sense of the public opinion here just to play with the “ left-leaning” sense of DW ."
3887,💉=☠️
3888,FARTZ. <br><br>Simply FARTZ.
3889,"it is not normal to wear mask outside, from this moment I swithed off DW special"
3890,no depression. it&#39;s like after a war when all survivers greet peace
3891,I’m alone with no help
3892,I can’t see people anymore
